subj,stimulus,timestamp,x,y,duration,prev_sacc_amplitude,aoi_label
User 26,page1,15.603520,833.565600,322.129500,0.016600,79.928879,
User 26,page1,15.636720,817.882800,275.852500,0.098630,48.862163,
User 26,page1,16.031740,637.672000,324.835000,0.049310,186.749077,
User 26,page1,16.098140,626.614800,247.269750,0.031740,78.349408,
User 26,page1,16.165040,757.712073,307.007591,0.196290,144.066320,
User 26,page1,16.394530,867.749867,310.671667,0.163090,110.098781,
User 26,page1,16.590330,1017.520000,315.885500,0.164550,149.860858,
User 26,page1,16.804200,1112.790000,345.492000,0.032230,99.764311,
User 26,page1,16.936040,509.577600,371.889000,0.016110,603.789699,
User 26,page1,16.968260,527.391200,372.415750,0.097660,17.821386,
User 26,page1,17.148440,1062.358080,322.704900,0.197260,537.271562,
User 26,page1,17.361820,1082.956000,395.059000,0.049310,75.228918,
User 26,page1,17.526370,596.662777,354.678113,0.969240,487.966919,
User 26,page1,18.511720,592.687200,307.455750,0.033200,47.389417,
User 26,page1,18.630860,812.044800,328.319250,0.030270,220.347549,
User 26,page1,18.679200,793.077600,288.777000,0.129390,43.855948,
User 26,page1,18.909670,999.356400,254.604000,0.029780,209.090261,
User 26,page1,18.958010,1016.326871,290.388000,0.277340,39.604186,
User 26,page1,19.251950,1078.758800,353.482500,0.114750,88.761826,
User 26,page1,19.465330,557.482800,312.413062,0.149420,522.891353,
User 26,page1,19.629880,591.047100,359.986594,0.262210,58.222016,
User 26,page1,19.924800,561.271200,291.758250,0.033210,74.442670,
User 26,page1,19.974610,569.656267,348.511333,0.146970,57.369171,
User 26,page1,20.138180,555.049600,295.512000,0.050780,54.975304,
User 26,page1,20.253910,694.026274,378.737211,1.034660,161.990591,
User 26,page1,21.321780,787.287200,405.802250,0.130860,97.108788,
User 26,page1,21.501950,775.450667,343.785167,0.147460,63.136536,
User 26,page1,21.719730,860.575366,337.549293,0.670410,85.352800,
User 26,page1,22.458500,958.552000,341.012000,0.063470,98.037805,
User 26,page1,22.537600,945.037477,406.051154,0.246090,66.428412,
User 26,page1,22.816410,952.862400,357.136500,0.049800,49.536580,
User 26,page1,22.915040,1057.016800,416.088000,0.362300,119.680485,
User 26,page1,23.358890,568.069200,386.154750,0.229980,489.862996,
User 26,page1,23.638180,682.298400,446.187000,0.016120,129.043331,
