timestamp,x,y,duration,prev_sacc_amplitude,aoi_label
18.021480,896.431200,522.007500,0.016700,126.556249,activities_and_procedures
18.070470,788.508000,376.131000,0.016020,181.459005,study_purpose
18.104740,839.554800,468.473250,0.081390,105.512402,study_purpose
18.268220,944.680800,426.830250,0.032900,113.073495,study_purpose
18.334380,961.296000,551.649000,0.015930,125.919757,activities_and_procedures
18.383510,893.071200,528.969000,0.031990,71.895798,activities_and_procedures
18.433110,941.203200,473.408250,0.033840,73.509771,study_purpose
18.516510,953.795733,471.336833,0.145630,12.761766,study_purpose
18.695500,953.433600,418.215000,0.016080,53.123068,study_purpose
18.746770,967.108800,553.822500,0.016020,136.295287,activities_and_procedures
18.780060,990.780000,498.246000,0.030210,60.407558,activities_and_procedures
18.827240,1030.688400,423.622500,0.032750,84.624743,study_purpose
18.877110,1043.658000,494.523750,0.033110,72.077720,activities_and_procedures
18.941860,987.336000,390.789000,0.016330,118.038409,study_purpose
18.975100,966.946400,403.095000,0.048310,23.815403,study_purpose
19.122070,851.284000,454.923000,0.066100,126.743569,study_purpose
19.285950,966.361200,427.877625,0.066500,118.212581,study_purpose
19.369230,918.372000,433.744500,0.016760,48.346495,study_purpose
19.715360,1020.465600,436.474500,0.014320,102.130094,study_purpose
19.767490,1001.263200,529.578000,0.013640,95.063105,activities_and_procedures
19.812710,1000.524000,379.669500,0.016510,149.910322,study_purpose
19.861760,1008.302400,470.295000,0.015930,90.958698,study_purpose
19.894900,945.915600,453.610500,0.048800,64.579295,study_purpose
19.959840,956.037600,510.116250,0.032500,57.405180,activities_and_procedures
20.008850,1042.692000,523.194000,0.016750,87.635681,activities_and_procedures
20.058260,993.837600,524.685000,0.017610,48.877147,activities_and_procedures
20.254550,729.195600,576.397500,0.032960,269.647123,activities_and_procedures
20.303960,757.755600,518.301000,0.033560,64.736983,activities_and_procedures
20.402340,630.151200,503.496000,0.016610,128.460387,activities_and_procedures
20.452970,761.040000,569.520000,0.016420,146.598249,activities_and_procedures
20.502350,663.079200,552.730500,0.033600,99.389163,activities_and_procedures
20.552950,641.617200,455.568750,0.031890,99.503885,study_purpose
20.650820,742.644000,470.967000,0.017120,102.193544,study_purpose
20.700530,742.988400,601.403250,0.032170,130.436705,activities_and_procedures
20.864440,768.468960,517.589100,0.100890,87.601773,activities_and_procedures
20.980350,780.326400,600.085500,0.015010,83.344195,activities_and_procedures
21.046300,892.298400,593.512500,0.016750,112.164759,activities_and_procedures
21.308410,835.934400,388.510500,0.015470,212.609314,study_purpose
21.390050,938.330400,545.186250,0.081780,187.168992,activities_and_procedures
21.520690,894.364800,474.789000,0.017460,82.998475,study_purpose
21.554530,919.329600,459.501000,0.015810,29.273951,study_purpose
21.603520,986.076000,451.857000,0.018860,67.182681,study_purpose
21.669310,1025.035200,448.665000,0.017090,39.089745,study_purpose
21.702060,935.104800,585.291000,0.017940,163.566930,activities_and_procedures
21.742310,935.709600,477.981000,0.025420,107.311704,study_purpose
21.866090,1052.318400,496.980750,0.033660,118.146531,activities_and_procedures
22.357790,761.199600,580.256250,0.040430,302.795252,activities_and_procedures
22.474150,709.060800,482.727000,0.032110,110.591180,study_purpose
22.572970,689.791200,428.379000,0.016020,57.663009,study_purpose
22.669620,585.144000,627.249000,0.017390,224.722748,activities_and_procedures
22.785740,756.504000,739.368000,0.016690,204.780174,activities_and_procedures_cont
22.819460,683.524800,668.246250,0.031860,101.903223,activities_and_procedures_cont
22.883940,632.436000,625.647750,0.032320,66.518401,activities_and_procedures
22.933690,676.804800,618.471000,0.016110,44.945480,activities_and_procedures
22.967070,700.543200,689.692500,0.017000,75.073389,activities_and_procedures_cont
23.052030,728.061600,529.326000,0.013800,162.710407,activities_and_procedures
23.098270,712.383000,623.873250,0.081880,95.838411,activities_and_procedures
23.360780,838.000800,555.408000,0.016020,143.064049,activities_and_procedures
23.393520,783.350400,497.521500,0.016610,79.608499,activities_and_procedures
23.427550,867.501600,536.235000,0.031190,92.629151,activities_and_procedures
23.492070,850.903200,653.310000,0.016720,118.245772,activities_and_procedures
23.541470,878.799600,577.505250,0.032750,80.774806,activities_and_procedures
23.607330,918.086400,506.908500,0.016570,80.792040,activities_and_procedures
23.656190,904.629600,652.680000,0.016230,146.391310,activities_and_procedures
23.705840,881.748000,587.548500,0.016630,69.033904,activities_and_procedures
23.771510,922.740000,491.305500,0.016450,104.609078,activities_and_procedures
23.820680,970.408062,521.325808,0.263460,56.333498,activities_and_procedures
24.149810,989.335200,546.094500,0.031830,31.172499,activities_and_procedures
24.198640,937.910400,486.696000,0.032350,78.566480,activities_and_procedures
24.248900,1015.840000,525.567000,0.064910,87.086033,activities_and_procedures
24.330050,1029.880320,593.331900,0.082460,69.204135,activities_and_procedures
24.527740,718.796400,739.578000,0.032170,343.745730,activities_and_procedures_cont
24.790280,663.378240,669.490500,0.098000,89.350043,activities_and_procedures_cont
24.905430,729.153600,659.400000,0.016450,66.544843,activities_and_procedures
24.938170,705.717600,615.583500,0.016110,49.690359,activities_and_procedures
25.069730,644.380800,656.208000,0.016120,73.570055,activities_and_procedures
25.118650,750.254400,609.002625,0.098670,115.920518,activities_and_procedures
25.283330,801.225600,730.275000,0.016350,131.548668,activities_and_procedures_cont
25.348970,808.953600,586.976250,0.033050,143.506981,activities_and_procedures
25.414340,820.596000,702.324000,0.016690,115.933813,activities_and_procedures_cont
25.480260,801.662400,588.073500,0.016110,115.808713,activities_and_procedures
25.512300,819.336000,638.316000,0.016420,53.260351,activities_and_procedures
25.545680,852.180000,601.125000,0.016030,49.617525,activities_and_procedures
25.594760,734.193600,585.543000,0.017120,119.010879,activities_and_procedures
25.677830,796.773600,617.505000,0.032410,70.269665,activities_and_procedures
25.726350,825.412000,677.950000,0.050260,66.886142,activities_and_procedures_cont
25.825130,859.118400,520.264500,0.017060,161.247754,activities_and_procedures
25.874570,798.453600,555.040500,0.016570,69.925590,activities_and_procedures
25.940280,883.024800,519.797250,0.032590,91.620819,activities_and_procedures
25.989350,868.492800,613.410000,0.016300,94.733975,activities_and_procedures
26.120820,952.341600,670.477500,0.032410,101.426431,activities_and_procedures_cont
26.170070,962.480400,612.743250,0.032260,58.617735,activities_and_procedures
26.235990,905.032800,441.913500,0.015960,180.230492,study_purpose
26.268400,956.957400,508.160625,0.065710,84.171525,activities_and_procedures
26.383940,916.423200,663.337500,0.016180,160.383552,activities_and_procedures_cont
26.484800,787.130400,601.083000,0.015440,143.500003,activities_and_procedures
26.517030,751.077600,667.642500,0.016110,75.696575,activities_and_procedures_cont
26.564450,768.877200,601.875750,0.032080,68.132893,activities_and_procedures
26.614230,729.044400,578.434500,0.131070,46.218440,activities_and_procedures
27.108730,696.315200,667.947000,0.129090,95.308385,activities_and_procedures_cont
27.254430,665.380800,674.541000,0.016660,31.629384,activities_and_procedures_cont
27.303070,789.331200,659.358000,0.017180,124.876840,activities_and_procedures
27.352810,711.622800,642.820500,0.032630,79.448627,activities_and_procedures
27.402340,748.498800,686.416500,0.032500,57.100355,activities_and_procedures_cont
27.467960,814.312800,643.849500,0.016510,78.380049,activities_and_procedures
27.566220,771.933120,696.276000,0.082310,67.413464,activities_and_procedures_cont
27.681700,821.951200,642.512500,0.049290,73.432433,activities_and_procedures
27.763670,838.152000,559.240500,0.016050,84.833318,activities_and_procedures
27.813540,789.784800,614.838000,0.015960,73.691709,activities_and_procedures
27.846040,801.296160,555.481500,0.081540,60.462430,activities_and_procedures
27.944270,813.607200,595.371000,0.016150,41.746065,activities_and_procedures
27.976780,846.617673,559.783636,0.179960,48.540208,activities_and_procedures
28.207490,965.546400,655.263000,0.016300,152.513445,activities_and_procedures
28.257020,906.964800,547.937250,0.033200,122.272730,activities_and_procedures
28.322480,876.414000,492.371250,0.033290,63.410817,activities_and_procedures
28.405090,922.017600,603.960000,0.016480,120.547656,activities_and_procedures
28.437590,949.200000,460.131000,0.018280,146.375080,study_purpose
28.488460,1003.077600,558.117000,0.016120,111.821518,activities_and_procedures
28.524230,935.860800,538.860000,0.014040,69.920886,activities_and_procedures
28.552670,951.988800,546.934500,0.015990,18.036350,activities_and_procedures
28.618740,972.980400,664.529250,0.032050,119.453642,activities_and_procedures_cont
28.665770,958.599600,602.143500,0.034000,64.021787,activities_and_procedures
28.732180,1016.719200,726.306000,0.017420,137.091992,activities_and_procedures_cont
28.781980,987.369600,567.231000,0.016120,161.759867,activities_and_procedures
28.880430,909.535200,607.015500,0.016360,87.412815,activities_and_procedures
29.028260,967.327200,610.543500,0.016630,57.899586,activities_and_procedures
29.078000,868.039200,510.237000,0.032320,141.136462,activities_and_procedures
29.176210,961.497600,739.861500,0.016750,247.915073,activities_and_procedures_cont
29.227970,1000.372800,592.368000,0.016080,152.530698,activities_and_procedures
29.277310,928.468800,554.095500,0.015630,81.455322,activities_and_procedures
29.326170,961.676100,588.632625,0.129850,47.911771,activities_and_procedures
29.472500,922.126800,667.422000,0.032440,88.158452,activities_and_procedures_cont
29.521760,941.774400,619.479000,0.016600,51.812734,activities_and_procedures
29.554260,905.494800,648.175500,0.065700,46.256875,activities_and_procedures
29.717320,928.418400,445.389000,0.034240,204.078064,study_purpose
29.866820,1068.118800,563.199000,0.033910,182.744077,activities_and_procedures
29.917450,1182.182400,535.972500,0.017520,117.268014,activities_and_procedures
30.310330,769.843200,746.119500,0.016210,462.801661,activities_and_procedures_cont
30.572940,775.084800,624.973125,0.065850,121.259715,activities_and_procedures
30.787840,788.664800,579.495000,0.064730,47.462367,activities_and_procedures
30.884460,748.818000,513.271500,0.049380,77.287253,activities_and_procedures
30.950380,809.911200,608.202000,0.083860,112.890119,activities_and_procedures
31.082150,785.426133,496.276667,0.197420,114.572242,activities_and_procedures
31.345490,818.434400,640.486000,0.049830,147.938763,activities_and_procedures
31.411010,778.843200,592.449000,0.114720,62.249630,activities_and_procedures
31.542330,784.240800,632.352000,0.016900,40.266407,activities_and_procedures
31.581150,760.443600,574.029750,0.142510,62.990409,activities_and_procedures
32.100340,794.623200,505.410500,0.049500,76.660593,activities_and_procedures
32.198910,838.478400,612.505500,0.132210,115.726477,activities_and_procedures
32.380280,884.184000,574.094850,0.163630,59.702428,activities_and_procedures
32.576720,923.832000,713.401500,0.017340,144.838899,activities_and_procedures_cont
32.674800,879.412800,542.629500,0.017280,176.454360,activities_and_procedures
32.709260,929.409600,681.471000,0.015810,147.569110,activities_and_procedures_cont
32.741460,897.153600,535.825500,0.015650,149.174600,activities_and_procedures
32.775020,936.924800,589.484000,0.065620,66.790590,activities_and_procedures
32.873350,994.358400,617.253000,0.031830,63.794481,activities_and_procedures
32.922180,976.004400,652.365000,0.049380,39.619716,activities_and_procedures
33.122340,1025.488800,624.844500,0.030000,56.622290,activities_and_procedures
33.200810,999.062400,714.766500,0.018860,93.724707,activities_and_procedures_cont
33.300870,1024.480800,569.782500,0.113650,147.195297,activities_and_procedures
33.431340,1033.032000,597.607500,0.016510,29.109340,activities_and_procedures
33.496310,960.842400,537.148500,0.016660,94.162779,activities_and_procedures
33.659030,716.738400,643.230000,0.032860,266.157937,activities_and_procedures
33.791870,704.970000,708.723750,0.032530,66.542667,activities_and_procedures_cont
33.857180,772.598400,796.477500,0.016630,110.789535,activities_and_procedures_cont
34.251530,1176.302400,608.895000,0.016660,445.156280,activities_and_procedures
34.334290,719.443200,680.358000,0.016910,462.414629,activities_and_procedures_cont
34.383760,674.581600,667.135000,0.049410,46.769765,activities_and_procedures_cont
34.466130,673.260000,751.096500,0.015650,83.971901,activities_and_procedures_cont
34.498290,700.820400,667.684500,0.033080,87.847239,activities_and_procedures_cont
34.548610,773.598000,652.575000,0.031040,74.329510,activities_and_procedures
34.597930,763.425600,729.918000,0.033540,78.009085,activities_and_procedures_cont
34.647190,723.238708,690.621346,0.228420,56.206880,activities_and_procedures_cont
34.893070,756.170100,724.826813,0.131620,47.481476,activities_and_procedures_cont
35.040340,693.470400,635.890500,0.016970,108.815992,activities_and_procedures
35.089870,651.134400,721.917000,0.033420,95.879589,activities_and_procedures_cont
35.155640,724.651200,704.907000,0.016170,75.458995,activities_and_procedures_cont
35.189480,675.292800,712.288500,0.015050,49.907296,activities_and_procedures_cont
35.254760,677.031600,612.617250,0.081420,99.686416,activities_and_procedures
35.370120,739.472533,684.735333,0.164850,95.393334,activities_and_procedures_cont
35.567570,792.556800,777.976500,0.016080,107.293311,activities_and_procedures_cont
35.665340,817.135200,694.680000,0.049380,86.847019,activities_and_procedures_cont
35.731660,803.896800,640.032750,0.032230,56.227904,activities_and_procedures
35.797180,732.748800,600.033000,0.015810,81.621185,activities_and_procedures
35.830470,782.499200,643.174000,0.097940,65.850195,activities_and_procedures
35.946440,788.575200,682.479000,0.013730,39.771859,activities_and_procedures_cont
